Designator,Mid X,Mid Y,Rotation,Layer
Battery1,153.50625,-127.277686,90.0,top
D1,168.8725,-73.21875,90.0,bottom
D2,140.2975,-120.768081,90.0,bottom
D3,140.2975,-73.21875,90.0,bottom
D4,168.8725,-120.768081,90.0,bottom
D5,176.01625,-96.679099,0.0,bottom
J1,149.066902,-76.2,0.0,top
J2,149.066902,-99.53625,0.0,top
J3,158.58125,-121.79625,270.0,top
LED1,145.06,-125.05875,180.0,top
LED2,164.30625,-125.038578,180.0,top
LED3,140.2975,-89.8875,0.0,top
Motor1,169.160294,-78.775,0.0,top
Motor2,140.2975,-105.1275,0.0,top
Motor3,140.2975,-78.775,0.0,top
Motor4,169.160294,-105.1275,0.0,top
Q1,173.184055,-79.715063,180.0,top
Q2,136.141127,-106.361748,180.0,top
Q3,136.141127,-79.715063,180.0,top
Q4,173.184055,-106.361748,180.0,top
R1,173.432618,-65.5927,270.0,bottom
R2,135.73125,-113.150655,270.0,bottom
R3,135.73125,-65.5927,270.0,bottom
R4,173.229375,-113.150655,270.0,bottom
R5,141.72625,-124.1775,0.0,bottom
R6,175.26,-124.1775,0.0,bottom
R7,135.73125,-94.65,90.0,bottom
R8,173.821864,-85.488004,270.0,bottom
R9,169.06875,-93.091078,90.0,bottom
Reset,137.976198,-99.375145,0.0,top
U1,154.78125,-92.86875,0.0,top
